What is the average central corneal thickness? ||| About 540 micrometers
Fill in the blank: ____ and CRP track giant cell arteritis. ||| ESR
What is a stye in the external lid margin usually from? ||| Staphylococcus aureus infection of a lash follicle
Quick question: what is a stye in the external lid margin usually from? ||| Staphylococcus aureus infection of a lash follicle
Exam prep: what is a stye in the external lid margin usually from? ||| Staphylococcus aureus infection of a lash follicle
What is a stye in the external lid margin usually from? (A) 23.5 (B) Staphylococcus aureus infection of a lash follicle (C) iris (D) Grade 2 ||| B
What is a stye in the external lid margin usually from? (A) Staphylococcus aureus infection of a lash follicle (B) Hydroxychloroquine (C) CN III (D) 250 ||| A
True or false: External styes usually come from staphylococcal follicle infection. ||| true
What is photokeratitis? ||| A corneal sunburn from UV light, such as snow blindness
Quick question: what is photokeratitis? ||| A corneal sunburn from UV light, such as snow blindness
Exam prep: what is photokeratitis? ||| A corneal sunburn from UV light, such as snow blindness
What is photokeratitis? (A) lipofuscin (B) bone spicule (C) A corneal sunburn from UV light, such as snow blindness (D) sphincter ||| C
What is photokeratitis? (A) A corneal sunburn from UV light, such as snow blindness (B) Benzalkonium (C) lid hygiene (D) Contact lenses ||| A
True or false: Photokeratitis is UV corneal injury like snow blindness. ||| true
True or false: Photokeratitis is angle corneal injury like snow blindness. ||| false
Fill in the blank: Photokeratitis is ____ corneal injury like snow blindness. ||| UV
What is an arcus senilis? ||| A gray lipid ring in the peripheral cornea
Quick question: what is an arcus senilis? ||| A gray lipid ring in the peripheral cornea
Exam prep: what is an arcus senilis? ||| A gray lipid ring in the peripheral cornea
What is an arcus senilis? (A) 15 to 20 (B) steep (C) Base-down (D) A gray lipid ring in the peripheral cornea ||| D
What is an arcus senilis? (A) doubled (B) facial (C) A gray lipid ring in the peripheral cornea (D) Ethambutol ||| C
True or false: Arcus senilis is a peripheral corneal lipid ring. ||| true
True or false: Arcus senilis is a peripheral corneal Third nerve ring. ||| false
Fill in the blank: Arcus senilis is a peripheral corneal ____ ring. ||| lipid
When is corneal arcus in a young person concerning? ||| It can signal dyslipidemia
Quick question: when is corneal arcus in a young person concerning? ||| It can signal dyslipidemia
Exam prep: when is corneal arcus in a young person concerning? ||| It can signal dyslipidemia
When is corneal arcus in a young person concerning? (A) It can signal dyslipidemia (B) disparity (C) year (D) Trantas ||| A
When is corneal arcus in a young person concerning? (A) preauricular (B) It can signal dyslipidemia (C) Office based (D) zonules ||| B
True or false: Arcus in the young warrants a lipid workup. ||| true
What is a Kayser-Fleischer ring? ||| A copper ring at Descemet's membrane in Wilson disease
Quick question: what is a Kayser-Fleischer ring? ||| A copper ring at Descemet's membrane in Wilson disease
Exam prep: what is a Kayser-Fleischer ring? ||| A copper ring at Descemet's membrane in Wilson disease
What is a Kayser-Fleischer ring? (A) Amsler (B) larger (C) A copper ring at Descemet's membrane in Wilson disease (D) cyclopentolate ||| C
What is a Kayser-Fleischer ring? (A) Sherrington (B) 250 (C) A copper ring at Descemet's membrane in Wilson disease (D) pain on eye movement ||| C
True or false: Kayser-Fleischer rings are copper deposits in Wilson disease. ||| true
True or false: Kayser-Fleischer rings are zonules deposits in Wilson disease. ||| false
Fill in the blank: Kayser-Fleischer rings are ____ deposits in Wilson disease. ||| copper
What is a hypopyon? ||| A white cell layer in the anterior chamber
Quick question: what is a hypopyon? ||| A white cell layer in the anterior chamber
Exam prep: what is a hypopyon? ||| A white cell layer in the anterior chamber
What is a hypopyon? (A) palpebral (B) A white cell layer in the anterior chamber (C) Drift (D) ectasia ||| B
What is a hypopyon? (A) 20/20 (B) depth of focus (C) 1.2 million (D) A white cell layer in the anterior chamber ||| D
True or false: A hypopyon is layered white cells in the anterior chamber. ||| true
True or false: A hypopyon is layered cone densitys in the anterior chamber. ||| false
Fill in the blank: A hypopyon is layered ____s in the anterior chamber. ||| white cell
What is a hyphema? ||| Blood in the anterior chamber, often from trauma
Quick question: what is a hyphema? ||| Blood in the anterior chamber, often from trauma
Exam prep: what is a hyphema? ||| Blood in the anterior chamber, often from trauma
What is a hyphema? (A) Blood in the anterior chamber, often from trauma (B) MiSight (C) facial (D) worsen ||| A
What is a hyphema? (A) Lissamine (B) latent (C) Cortical (D) Blood in the anterior chamber, often from trauma ||| D
True or false: A hyphema is blood layering in the anterior chamber. ||| true
True or false: A hyphema is strongest plus layering in the anterior chamber. ||| false
Fill in the blank: A hyphema is ____ layering in the anterior chamber. ||| Blood
What is papilledema? ||| Optic disc swelling from raised intracranial pressure
Quick question: what is papilledema? ||| Optic disc swelling from raised intracranial pressure
Exam prep: what is papilledema? ||| Optic disc swelling from raised intracranial pressure
What is papilledema? (A) Optic disc swelling from raised intracranial pressure (B) year (C) preauricular (D) Intorsion ||| A
What is papilledema? (A) Rods (B) 2.5 (C) Refractive (D) Optic disc swelling from raised intracranial pressure ||| D
True or false: Papilledema is disc swelling from raised intracranial pressure. ||| true
True or false: Papilledema is disc swelling from raised lid hygiene pressure. ||| false
Fill in the blank: Papilledema is disc swelling from raised ____ pressure. ||| intracranial
Which condition with obesity causes papilledema in young women? ||| Idiopathic intracranial hypertension
Quick question: which condition with obesity causes papilledema in young women? ||| Idiopathic intracranial hypertension
Exam prep: which condition with obesity causes papilledema in young women? ||| Idiopathic intracranial hypertension
Which condition with obesity causes papilledema in young women? (A) Retinoblastoma (B) junction (C) Idiopathic intracranial hypertension (D) deposits ||| C
Which condition with obesity causes papilledema in young women? (A) Idiopathic intracranial hypertension (B) Raised IOP (C) Horizontally (D) dispersion ||| A
True or false: Idiopathic intracranial hypertension raises ICP and swells discs. ||| true
True or false: Idiopathic Vertical prism raises ICP and swells discs. ||| false
Fill in the blank: Idiopathic ____ raises ICP and swells discs. ||| intracranial hypertension
What is optic neuritis? ||| Inflammatory demyelination of the optic nerve with pain on eye movement
Quick question: what is optic neuritis? ||| Inflammatory demyelination of the optic nerve with pain on eye movement
Exam prep: what is optic neuritis? ||| Inflammatory demyelination of the optic nerve with pain on eye movement
What is optic neuritis? (A) Inflammatory demyelination of the optic nerve with pain on eye movement (B) cover test (C) dilator (D) family history ||| A
What is optic neuritis? (A) Fourth generation (B) rotate the axis (C) 4 to 6 (D) Inflammatory demyelination of the optic nerve with pain on eye movement ||| D
True or false: Optic neuritis causes pain on eye movement and dyschromatopsia. ||| true
True or false: Optic neuritis causes fourth nerve and dyschromatopsia. ||| false
Fill in the blank: Optic neuritis causes ____ and dyschromatopsia. ||| pain on eye movement
Which color sense fades early in optic neuritis? ||| Red desaturation
Quick question: which color sense fades early in optic neuritis? ||| Red desaturation
Exam prep: which color sense fades early in optic neuritis? ||| Red desaturation
Which color sense fades early in optic neuritis? (A) Third nerve (B) Water (C) Red desaturation (D) doubled ||| C
Which color sense fades early in optic neuritis? (A) Red desaturation (B) flat (C) Randot (D) reduced positive fusional vergence ||| A
True or false: Red desaturation is an early optic neuritis sign. ||| true
True or false: dyslipidemia desaturation is an early optic neuritis sign. ||| false
Fill in the blank: ____ desaturation is an early optic neuritis sign. ||| Red
What is Leber hereditary optic neuropathy? ||| Mitochondrial DNA inherited rapid central vision loss in young men
Quick question: what is Leber hereditary optic neuropathy? ||| Mitochondrial DNA inherited rapid central vision loss in young men
Exam prep: what is Leber hereditary optic neuropathy? ||| Mitochondrial DNA inherited rapid central vision loss in young men
What is Leber hereditary optic neuropathy? (A) Mitochondrial DNA inherited rapid central vision loss in young men (B) Office based (C) Cerulean (D) equally blurred ||| A
What is Leber hereditary optic neuropathy? (A) Angle depth (B) 3 percent (C) Atropine (D) Mitochondrial DNA inherited rapid central vision loss in young men ||| D
True or false: LHON is mitochondrial, striking young men with central loss. ||| true
True or false: LHON is reflex, striking young men with central loss. ||| false
Fill in the blank: LHON is ____, striking young men with central loss. ||| Mitochondrial
What is the leading cause of irreversible blindness worldwide? ||| Cataract
Quick question: what is the leading cause of irreversible blindness worldwide? ||| Cataract
Exam prep: what is the leading cause of irreversible blindness worldwide? ||| Cataract
What is the leading cause of irreversible blindness worldwide? (A) Contact lenses (B) Cataract (C) 3,500 (D) 2.00 ||| B
What is the leading cause of irreversible blindness worldwide? (A) family history (B) intracranial (C) painless (D) Cataract ||| D
True or false: Cataract remains the leading cause of blindness worldwide. ||| true
True or false: High contrast remains the leading cause of blindness worldwide. ||| false
Fill in the blank: ____ remains the leading cause of blindness worldwide. ||| Cataract
What is the leading cause of irreversible blindness in developed countries among working adults? ||| Glaucoma
Quick question: what is the leading cause of irreversible blindness in developed countries among working adults? ||| Glaucoma
Exam prep: what is the leading cause of irreversible blindness in developed countries among working adults? ||| Glaucoma
What is the leading cause of irreversible blindness in developed countries among working adults? (A) Glaucoma (B) probe (C) cone density (D) Sturm ||| A
What is the leading cause of irreversible blindness in developed countries among working adults? (A) lipofuscin (B) Glaucoma (C) intracranial (D) Ganciclovir ||| B
True or false: Glaucoma leads irreversible blindness in working-age adults. ||| true
True or false: Latanoprost leads irreversible blindness in working-age adults. ||| false
Fill in the blank: ____ leads irreversible blindness in working-age adults. ||| Glaucoma
Which infection classically causes chorioretinitis with head size and hearing signs in newborns? ||| Congenital toxoplasmosis
